Seller,Type,Room,SquareMeter,Floor,Price,City,District
Adn Conseil,Appartement,1 p,24 m²,1 asc,741 €,Paris 12ème,Vallée de Fécamp
Foncier Nation,Appartement,1 p,21 m²,1 asc,790 €,Paris 12ème,Nation-Picpus
Gestiona,Appartement,1 p,12 m²,6 etg,590 €,Paris 17ème,Batignolles-Cardinet
Artois Adb Transactions,Appartement,1 p,13 m²,6 etg,645 €,Paris 18ème,Montmartre
Gestiona,Appartement,1 p,11 m²,1 asc,495 €,Paris 19ème,Bassin de la Villette
Gestiona,Appartement,1 p,20 m²,1 etg,790 €,Paris 13ème,Salpêtrière-Austerlitz
Gestiona,Appartement,1 p,12 m²,3 etg,595 €,Paris 13ème,Salpêtrière-Austerlitz
Gestiona,Appartement,1 p,10 m²,3 etg,645 €,Paris 7ème,Invalides
Adn Conseil,Appartement,1 p,22 m²,1 asc,765 €,Paris 14ème,Jean Moulin-Porte d'Orléans
Guy Hoquet Agence Bas-montreuil,Appartement,1 p,"18,3 m²",1 asc,670 €,Montreuil,Bas Montreuil-République
Gestiona,Appartement,1 p,12 m²,3 etg,560 €,Paris 10ème,Chateau d'Eau-Lancry
Gestiona,Appartement,1 p,14 m²,1 asc,650 €,Paris 18ème,Goutte d'Or-Château Rouge
Century 21 Bonsergent,Appartement,1 p,17 m²,6 etg,685 €,Paris 10ème,Léon-Blum Folie-Regnault
Etude La Roquette,Appartement,1 p,17 m²,6 etg,690 €,Paris 11ème,Secrétan
Excel Immobilier,Appartement,1 p,19 m²,1 tess,660 €,Paris 19ème,Léon-Blum Folie-Regnault
Surfaces - Gestion,Appartement,1 p,17 m²,1 asc,650 €,Paris 11ème,Léon-Blum Folie-Regnault
Agence Fur,Appartement,1 p,22 m²,5 etg,720 €,Paris 11ème,Grandes Carrières-Clichy
Groupe C.g.i,Appartement,1 p,10 m²,1 asc,630 €,Paris 18ème,Les Halles
Agence Fur,Appartement,1 p,14 m²,,517 €,Paris 1er,Jardin des Plantes
Fiduciaire Wayenberg,Appartement,1 p,22 m²,,768 €,Paris 5ème,Amandiers
Valimmo,Appartement,1 p,21 m²,,680 €,Paris 20ème,Auteuil Sud
Valimmo,Appartement,1 p,17 m²,,695 €,Paris 16ème,Dhuys-Hoche
Colonies,Appartement,1 p,26 m²,,810 €,Bagnolet,Archives
Cabinet Bhi,Appartement,1 p,15 m²,,690 €,Paris 3ème,Auteuil Nord
Letellier,Appartement,1 p,17 m²,,760 €,Paris 16ème,Muette Nord
Iva Immobilier,Appartement,1 p,15 m²,,590 €,Paris 16ème,Epinettes-Bessières
Cabinet Credassur,Appartement,1 p,21 m²,,725 €,Paris 17ème,
