Seller,Type,Room,SquareMeter,Floor,Price,City,District
F. Petitjean & Associes,Appartement,1 p,15 m²,1 asc,784 €,Paris 16ème,Muette Nord
Wizi,Appartement,1 p,16 m²,7 etg,750 €,Paris 17ème,Ternes-Maillot
F. Petitjean & Associes,Appartement,1 p,14 m²,1 asc,690 €,Paris 16ème,Muette Nord
Wizi,Appartement,1 p,16 m²,1 asc,780 €,Paris 1er,Les Halles
Nous Gérons,Appartement,1 p,14 m²,1 etg,720 €,Paris 18ème,La Chapelle-Marx Dormoy
Wizi,Appartement,1 p,14 m²,1 asc,680 €,Paris 17ème,Ternes-Maillot
Lokim.com,Appartement,1 p,17 m²,6 etg,795 €,Paris 9ème,Clichy-Trinité
Stanson & Associes,Appartement,1 p,10 m²,6 etg,560 €,Paris 5ème,Sorbonne
Foncier Nation,Appartement,1 p,21 m²,1 asc,790 €,Paris 12ème,Nation-Picpus
Guy Hoquet Agence Bas-montreuil,Appartement,1 p,"18,3 m²",3 etg,670 €,Montreuil,Bas Montreuil-République
Adn Conseil,Appartement,1 p,24 m²,1 asc,741 €,Paris 12ème,Vallée de Fécamp
Gestiona,Appartement,1 p,12 m²,3 etg,550 €,Paris 17ème,Batignolles-Cardinet
Artois Adb Transactions,Appartement,1 p,13 m²,1 asc,645 €,Paris 18ème,Montmartre
Gestiona,Appartement,1 p,11 m²,,495 €,Paris 19ème,Bassin de la Villette
Gestiona,Appartement,1 p,12 m²,,595 €,Paris 13ème,Salpêtrière-Austerlitz
Gestiona,Appartement,1 p,10 m²,,645 €,Paris 7ème,Invalides
Adn Conseil,Appartement,1 p,22 m²,,765 €,Paris 14ème,Jean Moulin-Porte d'Orléans
Gestiona,Appartement,1 p,14 m²,,650 €,Paris 18ème,Goutte d'Or-Château Rouge
Century 21 Bonsergent,Appartement,1 p,17 m²,,685 €,Paris 10ème,Léon-Blum Folie-Regnault
Agence Des Batignolles,Appartement,1 p,22 m²,,799 €,Paris 9ème,Secrétan
Etude La Roquette,Appartement,1 p,17 m²,,690 €,Paris 11ème,Dhuys-Hoche
Excel Immobilier,Appartement,1 p,19 m²,,660 €,Paris 19ème,Léon-Blum Folie-Regnault
Colonies,Appartement,1 p,26 m²,,810 €,Bagnolet,Grandes Carrières-Clichy
Surfaces - Gestion,Appartement,1 p,17 m²,,650 €,Paris 11ème,
Groupe C.g.i,Appartement,1 p,10 m²,,630 €,Paris 18ème,
